Family,taxonName
Aquifoliaceae,Ilex aquifolium L.
Betulaceae,Alnus glutinosa (L.) Gaertn.
Betulaceae,Betula pendula Roth
Betulaceae,Betula pubescens Ehrh.
Betulaceae,Carpinus betulus L.
Betulaceae,Corylus avellana L.
Buxaceae,Buxus sempervirens L.
Celastraceae,Euonymus europaeus L.
Cornaceae,Cornus mas L.
Cupressaceae,Juniperus communis L.
Elaeagnaceae,Hippophae rhamnoides L.
Fagaceae,Fagus sylvatica L.
Fagaceae,Quercus petraea (Matt.) Liebl.
Fagaceae,Quercus pubescens Willd.
Fagaceae,Quercus robur L.
Malvaceae,Tilia cordata Mill.
Malvaceae,Tilia platyphyllos Scop.
Oleaceae,Fraxinus excelsior L.
Rhamnaceae,Frangula alnus Mill.
Rhamnaceae,Rhamnus cathartica L.
Rosaceae,Crataegus laevigata (Poir.) DC.
Rosaceae,Crataegus monogyna Jacq.
Rosaceae,Crataegus rhipidophylla Gand.
Rosaceae,Malus sylvestris (L.) Mill.
Rosaceae,Prunus avium (L.) L.
Rosaceae,Prunus mahaleb L.
Rosaceae,Prunus padus L.
Rosaceae,Prunus spinosa L.
Rosaceae,Pyrus communis L.
Rosaceae,Pyrus nivalis Jacq.
Rosaceae,Sorbus aria (L.) Crantz
Rosaceae,Sorbus aucuparia L.
Rosaceae,Sorbus torminalis Garsault
Salicaceae,Populus nigra L.
Salicaceae,Populus tremula L.
Salicaceae,Salix alba L.
Salicaceae,Salix atrocinerea Brot.
Salicaceae,Salix caprea L.
Salicaceae,Salix cinerea L.
Salicaceae,Salix pentandra L.
Salicaceae,Salix purpurea L.
Salicaceae,Salix triandra L.
Salicaceae,Salix viminalis L.
Sapindaceae,Acer campestre L.
Sapindaceae,Acer pseudoplatanus L.
Taxaceae,Taxus baccata L.
Ulmaceae,Ulmus glabra Huds.
Ulmaceae,Ulmus laevis Pall.
Ulmaceae,Ulmus minor Mill.
Viburnaceae,Sambucus nigra L.
Viburnaceae,Sambucus racemosa L.
